iter	Passed	Remaining
406	5206	7585
407	5218	7572
408	5230	7558
409	5241	7543
410	5252	7526
411	5261	7509
412	5270	7491
413	5279	7473
414	5290	7458
415	5300	7440
416	5310	7423
417	5320	7407
418	5330	7391
419	5341	7375
420	5351	7360
421	5362	7344
422	5372	7328
423	5383	7313
424	5394	7298
425	5404	7282
426	5416	7269
427	5429	7256
428	5441	7243
429	5453	7229
430	5466	7216
431	5478	7203
432	5493	7193
433	5506	7180
434	5518	7168
435	5530	7153
436	5542	7141
437	5555	7128
438	5567	7114
439	5577	7098
440	5588	7083
441	5599	7068
442	5609	7052
443	5619	7037
444	5629	7021
445	5640	7006
446	5652	6992
447	5665	6980
448	5677	6967
449	5691	6956
450	5704	6943
451	5717	6931
452	5730	6919
453	5743	6907
454	5761	6900
455	5785	6902
456	5801	6893
457	5815	6882
458	5829	6870
459	5841	6857
460	5852	6843
461	5865	6830
462	5878	6817
463	5899	6815
464	5917	6808
465	5931	6797
466	5944	6784
467	5956	6771
468	5969	6758
469	5982	6746
470	5995	6733
471	6008	6721
472	6020	6708
473	6033	6695
474	6046	6682
475	6058	6668
476	6069	6654
477	6080	6640
478	6091	6625
479	6101	6610
480	6113	6597
481	6124	6582
482	6136	6568
483	6149	6555
484	6161	6542
485	6173	6529
486	6185	6515
487	6198	6502
488	6210	6490
489	6222	6476
490	6235	6463
491	6247	6451
492	6260	6438
493	6273	6425
494	6284	6411
495	6293	6395
496	6304	6380
497	6314	6365
498	6325	6350
499	6335	6335
500	6345	6320
501	6355	6305
502	6366	6290
503	6376	6275
504	6387	6260
505	6397	6245
506	6407	6230
507	6418	6215
508	6428	6200
509	6439	6186
510	6449	6171
511	6460	6157
512	6473	6145
513	6486	6133
514	6498	6119
515	6510	6106
516	6522	6093
517	6534	6080
518	6546	6067
519	6560	6055
520	6573	6043
521	6586	6031
522	6598	6017
523	6610	6004
524	6622	5991
525	6633	5977
526	6643	5963
527	6655	5949
528	6666	5935
529	6677	5921
530	6688	5907
531	6699	5893
532	6712	5881
533	6725	5869
534	6742	5860
535	6762	5854
536	6781	5847
537	6797	5837
538	6813	5827
539	6828	5817
540	6846	5808
541	6863	5800
542	6877	5787
543	6889	5774
544	6901	5762
545	6912	5748
546	6923	5733
547	6935	5720
548	6946	5706
549	6958	5693
550	6971	5680
551	6984	5668
552	6998	5657
553	7014	5646
554	7027	5634
555	7045	5626
556	7063	5618
