iter	Logloss
0	0.6616073377
1	0.6331694188
2	0.6072073033
3	0.5837876839
4	0.5649345196
5	0.5451639555
6	0.527492965
7	0.5107876623
8	0.4957634492
9	0.4819543691
10	0.4709579868
11	0.4592903369
12	0.4491933626
13	0.439280688
14	0.4308086422
15	0.4223891378
16	0.4151936889
17	0.4079727207
18	0.4013847945
19	0.3955882621
20	0.3902248364
21	0.3854827843
22	0.3801686653
23	0.3757566655
24	0.3716014209
25	0.3680750756
26	0.3651895159
27	0.3619569491
28	0.3589831408
29	0.3559698352
30	0.352582399
31	0.3495959808
32	0.347447135
33	0.3447158537
34	0.3424697711
35	0.3402184559
36	0.3382055848
37	0.3360565968
38	0.3340297121
39	0.332718222
40	0.3313267429
41	0.3300776099
42	0.3288192866
43	0.3272819243
44	0.3255969663
45	0.3242500877
46	0.3230494053
47	0.3216292624
48	0.3208888923
49	0.3197618172
50	0.3188549188
51	0.3175524955
52	0.3160659295
53	0.3153402465
54	0.3145075331
55	0.313330919
56	0.3116847224
57	0.3106361243
58	0.3096332825
59	0.3089357299
60	0.3082312563
61	0.3074754457
62	0.3067226649
63	0.3059740109
64	0.3052097746
65	0.3045012686
66	0.3038181796
67	0.3027894712
68	0.3019962712
69	0.3013016908
70	0.300666103
71	0.299685824
72	0.2988506125
73	0.2984169318
74	0.2977483408
75	0.297096191
76	0.2966406672
77	0.2957555071
78	0.2947985041
79	0.2935500732
80	0.2929610669
81	0.2925141138
82	0.292015965
83	0.2911799496
84	0.2907652208
85	0.2903766675
86	0.289855552
87	0.2894562536
88	0.289204566
89	0.2882662212
90	0.2877576504
91	0.2868120141
92	0.2861960331
93	0.285593746
94	0.2851544932
95	0.2848418432
96	0.2845331774
97	0.283965756
98	0.2836271176
99	0.2832085418
100	0.2827409128
101	0.2822402949
102	0.2815107874
103	0.2810718067
104	0.2807701427
105	0.2804311167
106	0.2797669845
107	0.2795040414
108	0.2790917385
109	0.2786618124
110	0.278380415
111	0.2779989241
112	0.2774730176
113	0.2771184756
114	0.2767149415
115	0.2762891981
116	0.2760659589
117	0.275680205
118	0.2754713673
119	0.2752117685
120	0.2747714443
121	0.2744461943
122	0.2742393294
123	0.2737850423
